,Nombre,Tipo,Latitud,Longitud
0,Hanauma bay,Playa,21.271171185401922,-157.69728551032878
1,Waikiki,Playa,21.279870963097483,-157.8362387738034
2,Haleiwa,Pueblo surfero,21.594024254988163,-158.10802775675674
3,Pearl Harbor,Monumento,21.352927644773107,-157.98042457029678
4,Jardín botánico Ho'omaluhia,Lugar de interés,21.387232835295592,-157.80503207670228
5,Volcán Haleakala,Volcán,20.720853965597406,-156.1564008855062
6,Isla de molokai ,Lugar de interés,21.143930007560613,-157.02938119955925
7,Volcán Mauna Loa,Volcán,19.475161597678053,-155.59051337825235
8,Parque nacional de los volcanes,Volcán,19.424490811799416,-155.28637370643787
9,Valle del Waipi'o ,Playa,20.11415482719455,-155.59280318666177
10,Cañón de Waimea ,Lugar de interés,22.072857450283788,-159.66526870807212
11,Monumento Diamond head state,Monumento,21.264058299460334,-157.80423379140333
12,Lolani palacio,Monumento,21.306937104788776,-157.85873751548655
13,Crater Haleakala,Volcán,20.71036368958066,-156.2533417037348
